,job_id,benefits,bid,campaign_budget,campaign_id,city_name,company_logo,company_name,description,feed_id,lat,lon,major_category,minor_category,pay_currentcy,pay_from,pay_option,pay_to,pay_type,postal_code,requirements,state,status,title,work_schedule
21,919,"['Health insurance', 'Life insurance']",0,,122,Sugar Land,,test,test 1407 0924,,29.5665,-95.6356,Construction / Facilities,Foreman,,1000.0,0.0,,1.0,77479,"['C#', 'Sleep']",Texas,1,test 1407 0924,Part Time
22,214,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days', 'Life insurance']",0,,7,Suwanee,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,34.0624,-84.0907,Capital Markets,Trader,,2000.0,0.0,,1.0,30024,"['C#', 'Javascript']",Georgia,1,Job 118,Full Time
23,429,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,5,Chicago,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,41.7757,-87.7118,Construction / Facilities,Finish Carpenter,,2000.0,0.0,,1.0,60629,"['Javascript', 'C#']",Illinois,1,Job 338,Part Time
24,117,['Health insurance'],0,,10,Westminster,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.7525,-117.994,Capital Markets,Trader,,,,,,92683,['Javascript'],California,1,Job 132,Full Time
25,998,"['Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options', 'Employee assistance programs(mental and emotional wellbing)']",0,,127,South Gate,,FPT,aaa,,33.9446,-118.193,Construction / Facilities,Demolitions,,1300.0,0.0,,1.0,90280,"['Javascript', 'mySql', 'aa']",California,1,FE Con meo,Full Time
26,1224,"['Health insurance', 'Flexible and remote working options']",0,,4,Los Angeles,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job by lta 720 419 desc,,33.967,-118.172,Construction / Facilities,Demolitions,,1234.0,0.0,,1.0,90096,"['C#', 'Sleep']",California,1,create job by lta 720 419,Part Time
27,547,"['Paid time off (PTO) such as sick day and vacation days', 'SQL']",0,,54,Hawthorne,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,33.9144,-118.349,Education / Higher Education,Enrollment / General,,1000.0,0.0,,1.0,90250,"['Javascript', 'VueJs']",California,1,Job 1258,Part Time
28,144,['Health insurance'],0,,54,Chicago,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,tt,,41.8803,-87.6877,Capital Markets,Trader,,22.0,0.0,,1.0,60612,['Javascript'],Illinois,1,tester,Part Time
29,1275,['Life insurance'],0,,70,Woodside,,FPT - managed,adasd,,40.7448,-73.9052,Construction / Facilities,Highway Maintenance,,123.0,2.0,,1.0,11377,['C#'],New York,1,Who your daddy,Full Time
30,948,['Life insurance'],0,,13,Lynwood,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Job1415147,,33.9236,-118.201,Education / Higher Education,Counselor,,2000.0,0.0,,1.0,90262,['Sleep'],California,1,Job1415147,Part Time
31,718,['PHP'],0,,51,Houston,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,29.7454,-95.6133,Education / Higher Education,Teacher - Preschool,,1000.0,0.0,,1.0,77282,"['bb', 'Sleep']",Texas,1,Job 0003,Part Time
32,567,['Employee assistance programs(mental and emotional wellbing)'],0,,48,Houston,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,12,,29.8297,-95.4738,Finance,Auditors1,,100.0,0.0,,1.0,77092,"['Javascript', 'Php']",Texas,1,PHP FE,Part Time
33,120,['Health insurance'],0,,10,Long Beach,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.8649,-118.181,Capital Markets,Trader,,,,,,90805,['Javascript'],California,1,Job 132,Full Time
34,1450,"['Retirement benefit or accounts', 'PHP']",0,,12,Fairfield,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,38.2423,-122.131,Construction / Facilities,Demolitions,,1000.0,0.0,,1.0,94534,"['C#', 'aa']",California,2,Job 1518,PART_TIME
35,1191,['Retirement benefit or accounts'],0,,1,Corona,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job bt lta 720 348,,40.7496,-73.8526,Construction / Facilities,Line Worker,,12344.0,0.0,,1.0,11368,"['C#', 'Sleep']",New York,1,create job bt lta 720 350,Full Time
36,1109,['Retirement benefit or accounts'],0,,13,Concord,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Job1411147,,38.0154,-122.023,Emergency Services / Enforcement,Correctional Officesr and Jailers,,123.0,2.0,,1.0,94522,['C#'],California,1,Job1411147,Full Time
37,1902,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,Fair Oaks,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,38.652,-121.254,Construction / Facilities,Demolitions,,3000.0,0.0,,1.0,95628,"['Php', 'aa']",California,1,shipper,FULL_TIME
38,504,"['Health insurance', 'Life insurance']",0,,100,Richmond,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,123,,29.6765,-95.7125,Construction / Facilities,Foreman,,123.0,0.0,,1.0,77407,"['Javascript', 'C#']",Texas,1,123,Part Time
39,1072,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options']",0,,48,Brentwood,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,"Develop Apex (classes and triggers), Lightning Components, and Visualforce to extend Salesforce in order to support business requirements,",,40.7838,-73.2523,Construction / Facilities,Foreman,,1000.0,0.0,,1.0,11717,['Javascript'],New York,1,Junior Salesforce Developer (JavaScript),Full Time
40,1318,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days']",0,,53,Lakewood,,FPT - managed,create job title bt lta 328 721,,40.0765,-74.2032,Construction / Facilities,Line Worker,,1230.0,2.0,,1.0,8701,['C#'],New Jersey,1,create job title bt lta 328 721,Full Time
41,1909,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,Loomis,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,38.8128,-121.171,Construction / Facilities,Demolitions,,3000.0,0.0,,1.0,95650,"['Php', 'aa']",California,1,shipper,FULL_TIME
42,1937,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,1,Bell,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,dessc,,33.9699,-118.152,Capital Markets,Trader,,600.0,0.0,,1.0,90202,"['Php', 'bb']",California,1,crypto digger,FULL_TIME
43,219,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days', 'Life insurance']",0,,7,Alpharetta,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,34.0862,-84.2159,Capital Markets,Trader,,2000.0,0.0,,1.0,30005,"['C#', 'Javascript']",Georgia,2,Job 118,Full Time
44,1897,['Employee assistance programs(mental and emotional wellbing)'],0,,53,Katy,,FPT - managed,đâsdas,,29.8356,-95.7381,Capital Markets,Trader,,12.0,2.0,,1.0,77449,"['bb', 'mySql']",Texas,1,create job bt lta 726 1026,FULL_TIME
45,695,['Health insurance'],0,,1,Woodside,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,40.7448,-73.9052,Construction / Facilities,Foreman,,2000.0,0.0,,1.0,11377,"['mySql', 'aa']",New York,1,Job 2341,Full Time
46,475,"['Life insurance', 'SOS', 'Nha']",0,,55,Bronx,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,40.8624,-73.8883,Education / Higher Education,Teacher - Preschool,,2000.0,0.0,,1.0,10458,"['Javascript', 'C#', 'aa', 'bb']",New York,1,Job 1136,Full Time
47,140,['Health insurance'],0,,33,Frisco,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,22,,33.1553,-96.7727,Capital Markets,Financial Sales / Broker,,,,,,75035,['Javascript'],Texas,1,test so luong,Part Time
48,308,"['Health insurance', 'Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,93,Fort Bliss,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Description,,31.814,-106.418,Capital Markets,Trader,,2000.0,2.0,,1.0,79916,"['Javascript', 'C#']",Texas,1,Backend 20/6/2022,Full Time
49,782,['Health insurance'],0,,11,Tomball,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,30.0954,-95.5894,Education / Higher Education,Speech Pathologist,,2222.0,0.0,,1.0,77375,['Javascript'],Texas,1,Job 1550,Part Time
50,483,"['Life insurance', 'More pay', 'SOS', 'Nha']",0,,55,Staten Island,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,40.5991,-74.1657,Education / Higher Education,Teacher - Preschool,,2000.0,2.0,,1.0,10314,"['Javascript', 'C#', 'Php', 'aa', 'bb']",New York,1,Job 1136_update,Full Time
51,55,['Paid time off (PTO) such as sick day and vacation days'],0,,1,Missouri City,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,29.5257,-95.533,Capital Markets,Trader,,,,,,77459,['Javascript'],Texas,2,123,Full Time
52,1320,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days']",0,,53,Lakewood,,FPT - managed,create job title bt lta 328 721,,40.0765,-74.2032,Construction / Facilities,Line Worker,,1230.0,0.0,,1.0,8701,['C#'],New Jersey,1,create job title bt lta 328 721,Part Time
53,779,['Health insurance'],0,,11,Spring,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,30.0391,-95.5338,Education / Higher Education,Speech Pathologist,,2222.0,0.0,,1.0,77379,['Javascript'],Texas,1,Job 1550,Part Time
54,976,"['Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days', 'Employee assistance programs(mental and emotional wellbing)']",0,,57,Brooklyn,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,qqweqwe,,40.6221,-73.9651,Construction / Facilities,Demolitions,,1000.0,0.0,,1.0,11230,"['Javascript', 'C#']",New York,2,FE 0002,Full Time
55,1013,['Life insurance'],0,,141,Ohio,,self_client_01,desc,,41.5505,-89.445,Construction / Facilities,Line Worker,,400.0,0.0,,1.0,61349,['mySql'],Illinois,2,Job senior tester,Part Time
56,662,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,48,Howell,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,letheanh test question desc,,40.1498,-74.2001,Construction / Facilities,Building Inspection,,12345.0,0.0,,1.0,7731,"['mySql', 'Sleep']",New Jersey,1,letheanh test question,Full Time
57,255,"['Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options', 'Life insurance', 'Retirement benefit or accounts']",0,,9,Mesquite,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,We are currently seeking a new Frontend Developer to join our expanding team.,,32.8158,-96.6304,Capital Markets,Trader,,2000.0,0.0,,1.0,75150,"['Javascript', 'C#', 'mySql']",Texas,2,PHP 1,Full Time
58,1303,['Life insurance'],0,,70,Hidalgo,,FPT - managed,adasd,,26.1069,-98.2434,Construction / Facilities,Highway Maintenance,,123.0,2.0,,1.0,78557,['C#'],Texas,1,Who your daddy,Full Time
59,331,"['Health insurance', 'Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,96,Chicago,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,41.8481,-87.7178,Capital Markets,Trader,,2000.0,0.0,,1.0,60623,"['Javascript', 'C#', 'mySql']",Illinois,1,Job 228,Part Time
60,129,['Health insurance'],0,,10,Lynwood,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.9236,-118.201,Capital Markets,Trader,,,,,,90262,['Javascript'],California,1,Job 132,Full Time
61,530,"['Paid time off (PTO) such as sick day and vacation days', 'SQL']",0,,54,Los Angeles,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,33.9528,-118.292,Education / Higher Education,Enrollment / General,,1000.0,0.0,,1.0,90044,"['Javascript', 'VueJs']",California,1,Job 1258,Part Time
62,1899,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,Folsom,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,38.6671,-121.142,Construction / Facilities,Demolitions,,3000.0,0.0,,1.0,95630,"['Php', 'aa']",California,1,shipper,FULL_TIME
63,631,['Paid time off (PTO) such as sick day and vacation days'],0,,103,Richmond,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,29.6436,-95.798,Executive,Regional / Divisional VP,,2000.0,0.0,,1.0,77406,['C#'],Texas,2,Job 2239,Part Time
64,960,"['Flexible and remote working options', 'Retirement benefit or accounts', 'Employee assistance programs(mental and emotional wellbing)']",0,,57,Chicago,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,FE,,41.8113,-87.7133,Construction / Facilities,Foreman,,1000.0,0.0,,1.0,60632,"['Javascript', 'Sleep']",Illinois,2,FE 001,Full Time
65,551,"['Paid time off (PTO) such as sick day and vacation days', 'SQL']",0,,54,Huntington Park,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,33.977,-118.217,Education / Higher Education,Enrollment / General,,1000.0,0.0,,1.0,90255,"['Javascript', 'VueJs']",California,1,Job 1258,Part Time
66,1992,['Health insurance'],0,,10,Forest Hills,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,40.7209,-73.8461,Capital Markets,Financial Sales / Broker,,1000.0,2.0,,1.0,11375,['Javascript'],New York,1,Job1427_update,PART_TIME
67,1933,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,1,Hawaiian Gardens,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,dessc,,33.8305,-118.073,Capital Markets,Trader,,600.0,0.0,,1.0,90716,"['Php', 'bb']",California,1,crypto digger,FULL_TIME
68,1162,"['Life insurance', 'Health insurance']",0,,63,Hacienda Heights,,Gotoro 6,Desc,,33.9993,-117.973,Education / Higher Education,Teacher - Preschool,,2000.0,2.0,,1.0,91745,['mySql'],California,1,Job2252187,Part Time
69,1539,"['Health insurance', 'Life insurance']",0,,222,Rosenberg,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.546,-95.8681,Finance,Financial Advisor,,2000.0,0.0,,1.0,77471,['mySql'],Texas,1,Data Analyst,FULL_TIME
70,649,['Flexible and remote working options'],0,,5,Katy,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,29.7463,-95.7383,Construction / Facilities,Masonry - Finishing,,2000.0,0.0,,1.0,77450,['Javascript'],Texas,2,Job 1052,Full Time
71,1295,['Life insurance'],0,,70,Mission,,FPT - managed,adasd,,26.2281,-98.3767,Construction / Facilities,Highway Maintenance,,123.0,2.0,,1.0,78572,['C#'],Texas,1,Who your daddy,Full Time
72,1286,['Life insurance'],0,,70,South Richmond Hill,,FPT - managed,adasd,,40.6886,-73.823,Construction / Facilities,Highway Maintenance,,123.0,2.0,,1.0,11419,['C#'],New York,1,Who your daddy,Full Time
73,701,"['Paid time off (PTO) such as sick day and vacation days', 'Life insurance']",0,,79,Cypress,,Publisher Company,This is job description,,29.9727,-95.6968,Construction / Facilities,Line Worker,,2000.0,0.0,,1.0,77410,"['Javascript', 'mySql']",Texas,1,Job 0000,Part Time
74,646,['Flexible and remote working options'],0,,5,Houston,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,29.8264,-95.6621,Construction / Facilities,Masonry - Finishing,,2000.0,0.0,,1.0,77084,['Javascript'],Texas,2,Job 1052,Full Time
75,874,['Life insurance'],0,,12,Pittsburg,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,38.0158,-121.907,Construction / Facilities,Line Worker,,2000.0,0.0,,1.0,94565,['C#'],California,2,Job1341,Part Time
76,1999,['Health insurance'],0,,10,Clayton,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,37.8902,-121.878,Capital Markets,Financial Sales / Broker,,1000.0,2.0,,1.0,94517,['Javascript'],California,1,Job1427_update,PART_TIME
77,1376,['Health insurance'],0,,12,Watsonville,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,36.9393,-121.748,Education / Higher Education,Enrollment / General,,2000.0,0.0,,1.0,95076,['C#'],California,2,Job136,Part Time
